,high_ast
1480,Mat2b
1481,Ndrg1
1482,Tmem165
1483,Psmb2
1484,Vamp2
1485,Ubr5
1486,Uqcr11
1487,Dnajc7
1488,Zc3h13
1489,Yipf5
1490,Adprh
1491,Aktip
1492,Atp6v1d
1493,Chmp2b
1494,Ryk
1495,Mkln1
1496,Ap1s2
1497,Srpk2
1498,Rfk
1499,Stxbp3
1500,Paqr4
1501,Eftud2
1502,Hcfc1r1
1503,Asph
1504,Cachd1
1505,Os9
1506,Tapbp
1507,Dync1h1
1508,Ypel5
1509,Pals1
1510,Mapkapk2
1511,Slc7a2
1512,Clptm1l
1513,Ndufa7
1514,Cops9
1515,Vhl
1516,Atp5mpl
1517,Clk4
1518,Thra
1519,Jun
1520,Eif4e
1521,Lrrn3
1522,Mfn1
1523,Wwtr1
1524,Vbp1
1525,Skap2
1526,Kif3a
1527,Tbc1d19
1528,Npas3
1529,Anapc5
1530,Sfpq
1531,Selenos
1532,Wdfy3
1533,Taf9b
1534,Ramp1
1535,Cpped1
1536,Lrig1
1537,Ubl5
1538,Usp9x
1539,Ensa
1540,Ndufv3
1541,Ndufa9
1542,Cnot7
1543,Bmi1
1544,Dtx3
1545,Rhot1
1546,Ampd3
1547,Bub3
1548,Ndufa3
1549,Cyb5a
1550,Rpl18
1551,Rtcb
1552,Spon1
1553,P4ha3
1554,Kif1a
1555,Mcrip1
1556,Erp44
1557,Pdcd4
1558,Anp32b
1559,Nmt1
1560,Cmtm5
1561,Armc1
1562,Spag9
1563,Ufm1
1564,Jam3
1565,Tmpo
1566,Arxes2
1567,Atxn2
1568,Smad4
1569,Nr2e1
1570,Coa5
1571,Fam172a
1572,Max
1573,Iqub
1574,Ppid
1575,Sf3b6
1576,Utrn
1577,Cd151
1578,Tiparp
1579,Adipor2
1580,Anxa7
1581,Sec63
1582,Glod4
1583,Taok1
1584,Akr1c14
1585,Chmp4b
1586,Anapc4
1587,Cd47
1588,Dhx36
1589,Trappc13
1590,Txndc15
1591,Myo1e
1592,Fcho2
1593,Ndufb5
1594,Sbf2
1595,Zfand6
1596,Arhgef26
1597,Ogt
1598,Psma1
1599,Rsl1d1
1600,Taf13
1601,Eif3b
1602,Mmp14
1603,Commd8
1604,Map4k3
1605,Fxr1
1606,Pbrm1
1607,Tsg101
1608,Pole4
1609,Tnks2
1610,Slc31a1
1611,Nfe2l1
1612,Prpf40a
1613,Nectin3
